"Path","SizeBytes","Sha256"
"archive/pc/ep1/lang_en_voice.archive","1643462656","B4B170A5C1C2E977CA0943FECE5C99C8486EDDC34DBC1B2A79D0ED567EC5577E"
"archive/pc/ep1/lang_es-es_text.archive","2301952","DE0944DD2F416B48D8F924C49B17E5D96AB3C49FA215B833918D5FEA25FAF008"
"archive/pc/ep1/lang_es-mx_text.archive","2289664","6553FA031AA796393031AB6C6684883E896B57532380A91A9ECB1FC86D386325"
"archive/pc/ep1/lang_fr_text.archive","2383872","513124CDDFB9A1753FDE06672632B43413FD13ADD9947BB31040539C4820E173"
"archive/pc/ep1/lang_hu_text.archive","2363392","A1D3734A45E56FE4C76B9FCD3446623CA6BCB6CC249B21DA83D200F3798741B3"
"archive/pc/ep1/lang_it_text.archive","2248704","711BF9F1FD2F531785C2273F3131C7C45CCBDE52FD28C79763E091A2E05490C8"
"archive/pc/ep1/lang_ja_text.archive","2383872","481D3C2863947296A7CD596BEEA5C970E098C1E8D0319E99DECA6B8603BA42AC"
"archive/pc/ep1/lang_ko_text.archive","2318336","D796E6773C82795AFFF10AC7D163ECE478EC0B1F29B7C8696B789594492DD244"
"archive/pc/ep1/lang_pl_text.archive","2306048","9ACF490970DF1AA93709F62D671170294DAB252C4D1D7B8EA244840341DC4BDF"
"archive/pc/ep1/lang_pt_text.archive","2293760","7F2FCE0913DA35400C6C3911447D2A859B0A11DA7E2E2962293E8BB2A39709DD"
"archive/pc/ep1/lang_ru_text.archive","2494464","6E914B093F67BF90D4ACD2155984C1E0ACE68325CA5D0DEAFB4AC28D4DFF3A51"
"archive/pc/ep1/lang_th_text.archive","2588672","098C5ABD5064989C979529866C9BA98813F23E818832DEC00CA3CA154AB26AF2"
"archive/pc/ep1/lang_tr_text.archive","2281472","50BAF6AB9F14EE9D2558D962551A6E6CCD33F4067A8FADB773436A55FB97C351"
"archive/pc/ep1/lang_ua_text.archive","2551808","DE9A24C72008F6C85A59C6EBDEAE73E8F188DCBD8E7F867BEA19378EB21DB8EF"
"archive/pc/ep1/lang_zh-cn_text.archive","2297856","1F899516932F3BAEF760CA734412A0E6F8EF22D2733B42C7893A49F13CDA4197"
"archive/pc/ep1/lang_zh-tw_text.archive","2277376","18B63AA8D3642B7CDAE77BCACCEBFA826FD8EE8B329DD18713002B27F4B1B63F"
"bin/x64/amd_ags_x64.dll","176776","C1F0BD493B470FA369D681C370BBD46E019A7196DBE03D91272EA0BE214B3384"
"bin/x64/amd_fidelityfx_dx12.dll","6675664","12A5081257EC95B0B53AD51B4A87FB3C03F97FE0BBB59F9496968F8D50EF93A6"
"bin/x64/api-ms-win-downlevel-kernel32-l2-1-0.dll","17032","441FEF8B3A203766C2FFCDF1AA0984C6CD66E6D8F6EB142CF9C4E0B1090B2B54"
"bin/x64/bink2w64.dll","394960","4F60FB1ACD3CC03DA501FADC378B093F5EC99F5C99A7BB9D1013603FB8E74334"
"bin/x64/CChromaEditorLibrary64.dll","437136","C661BD9ED3B82A3ABD89BBA0D8E3E143C2F629D022F71875C20BBF575D17C3FF"
"bin/x64/CrashReporter/7za.exe","1162376","C102941C65379A6E7AEC5BFF2501731773B9293442AAAC616D0A2D61BCECDDFA"
"bin/x64/CrashReporter/ar/CrashReporter.resources.dll","14984","B91948920EF51602AEA0D84E9A8BFB7B0E5F9C806FEA45146D6AF015A2748150"
"bin/x64/CrashReporter/CrashReporter.exe","89736","F343888DD5109A2C738EA5CF80650365BBD330D9704D28661606E54A0BDE1D5B"
"bin/x64/CrashReporter/CrashReporter.exe.config","205","1CE5C6779DC81FF7974664A9F652DBB08CB5ABB7285170ECB80C20DA23C7C9D6"
"bin/x64/CrashReporter/cs/CrashReporter.resources.dll","14984","13A91B60AAB907292B93EBBCF0ED34F550AB049A51125957CF6F6C6614BE1223"
"bin/x64/CrashReporter/de/CrashReporter.resources.dll","14984","53041C17C1C17FB4A8F8DEF81ABB714B88FBA5ABAB1B84CD663034D30286E303"
"bin/x64/CrashReporter/es-es/CrashReporter.resources.dll","14984","9FC7F65D01036AD46054F3E8AACA27BED8DCC0CC48B2D8EB0141CBF19114A107"
"bin/x64/CrashReporter/es/CrashReporter.resources.dll","14984","C551CE85356A7C6CF0AB829650BCC05AFC6DEDAC6C4091E24BC94AE8E95DF707"
"bin/x64/CrashReporter/fr/CrashReporter.resources.dll","14984","8D5B8B9C12E7ED3B86AF4D4848C8894D5A7330EAC2AE71882A6F89E671FE4A2C"
"bin/x64/CrashReporter/hu/CrashReporter.resources.dll","14984","7765816BDC4FCB6EDB7E16A42366A21AA829212EB984836EE328FDBE235A5A79"
"bin/x64/CrashReporter/it/CrashReporter.resources.dll","14984","AFB0D2358240245E7258A1A8ED68C947A5937B5AFDE65179708D9687A353AFAC"
"bin/x64/CrashReporter/ja/CrashReporter.resources.dll","14984","C75FA24FC6472008EF2FFE4726B47B6002EA311616C3A35C9A86B884D93A7132"
"bin/x64/CrashReporter/ko/CrashReporter.resources.dll","14984","C629DC2C763FF9F36496A7B487757C93EE44DAC2900207F9EC44683A80164D3E"
"bin/x64/CrashReporter/pl/CrashReporter.resources.dll","14984","BC48C3B9EC758D5BF9741A188685A72663627C3A5FCEC419AD6C566563E6C96F"
"bin/x64/CrashReporter/pt/CrashReporter.resources.dll","14984","C5569BDAC07D789A8B99973C4520C0EE29A86B5BF93C79A9B640C6EBACAD98AB"
"bin/x64/CrashReporter/ru/CrashReporter.resources.dll","14984","D08A7AD5AF01E23105A099B573536252202D93A8F0C79F732C2C8E7BFEA36F32"
"bin/x64/CrashReporter/th/CrashReporter.resources.dll","15496","27F3A13092644E74AE84BAC19D5ED1E203D860AD564E7B156C91B8404B4D42FD"
"bin/x64/CrashReporter/ThirdPartyNotices.txt","1244","4AECEEB1237CDDCC0DB18595CFFE553F74C17690AB38B6B1DCBC770AA3C21889"
"bin/x64/CrashReporter/tr/CrashReporter.resources.dll","14984","C182B686C6FE8A91F48B1D126D6A35BF8207549DDE2BCCE0D6C7F0A0154B595B"
"bin/x64/CrashReporter/uk/CrashReporter.resources.dll","14984","6279D359A7D8EC4FB5D556539599A27EFF9C5E370B25E4721DFD20E533BABEC4"
"bin/x64/CrashReporter/zh-hans/CrashReporter.resources.dll","14984","7D87E9E499FC52A2AA5EBAE1B8265449C19F02D22F848B5008B5CAD7732447D3"
"bin/x64/CrashReporter/zh-hant/CrashReporter.resources.dll","14984","7028591C559B063D65FD49BE13FBF7657D9F5B29F15B36D6173B8FF2527125DE"
"bin/x64/cyberpunk2077_addresses.json","132079509","58DA9E852FA519F851EB42FD36FD27C292C5C8585B1EC66CF34D4A2544A5689F"
